signalName,t,tWall,value,unit
serial:COM8/motor_angle,4992410,1786326464028,139.39,deg
serial:COM8/phase_u_v,4992410,1786326464028,8.001,V
serial:COM8/phase_v_v,4992410,1786326464028,8.006,V
serial:COM8/phase_w_v,4992410,1786326464028,8.033,V
serial:COM8/motor_angle,4992412,1786326464028,139.37,deg
serial:COM8/phase_u_v,4992412,1786326464028,7.499,V
serial:COM8/phase_v_v,4992412,1786326464028,7.509,V
serial:COM8/phase_w_v,4992412,1786326464028,7.536,V
serial:COM8/motor_angle,4992414,1786326464028,139.42,deg
serial:COM8/phase_u_v,4992414,1786326464028,7.639,V
serial:COM8/phase_v_v,4992414,1786326464028,7.655,V
serial:COM8/phase_w_v,4992414,1786326464028,7.682,V
serial:COM8/motor_angle,4992416,1786326464028,139.37,deg
serial:COM8/phase_u_v,4992416,1786326464028,7.806,V
serial:COM8/phase_v_v,4992416,1786326464028,7.812,V
serial:COM8/phase_w_v,4992416,1786326464028,7.828,V
serial:COM8/motor_angle,4992418,1786326464028,139.37,deg
serial:COM8/phase_u_v,4992418,1786326464028,7.957,V
serial:COM8/phase_v_v,4992418,1786326464028,7.963,V
serial:COM8/phase_w_v,4992418,1786326464028,7.990,V
serial:COM8/motor_angle,4992420,1786326464028,139.44,deg
serial:COM8/phase_u_v,4992420,1786326464028,8.114,V
serial:COM8/phase_v_v,4992420,1786326464028,8.130,V
serial:COM8/phase_w_v,4992420,1786326464028,8.146,V
serial:COM8/motor_angle,4992422,1786326464028,139.37,deg
serial:COM8/phase_u_v,4992422,1786326464028,7.612,V
serial:COM8/phase_v_v,4992422,1786326464028,7.617,V
serial:COM8/phase_w_v,4992422,1786326464028,7.650,V
serial:COM8/motor_angle,4992424,1786326464028,139.42,deg
serial:COM8/phase_u_v,4992424,1786326464028,7.758,V
serial:COM8/phase_v_v,4992424,1786326464028,7.768,V
serial:COM8/phase_w_v,4992424,1786326464028,7.801,V
serial:COM8/motor_angle,4992426,1786326464028,139.35,deg
serial:COM8/phase_u_v,4992426,1786326464028,7.909,V
serial:COM8/phase_v_v,4992426,1786326464028,7.925,V
serial:COM8/phase_w_v,4992426,1786326464028,7.947,V
