signalName,t,tWall,value,unit
serial:COM8/motor_angle,158746,1786321630308,196.72,deg
serial:COM8/phase_u_v,158746,1786321630308,7.920,V
serial:COM8/phase_v_v,158746,1786321630308,7.920,V
serial:COM8/phase_w_v,158746,1786321630308,7.952,V
serial:COM8/motor_angle,158748,1786321630308,196.66,deg
serial:COM8/phase_u_v,158748,1786321630308,8.071,V
serial:COM8/phase_v_v,158748,1786321630308,8.071,V
serial:COM8/phase_w_v,158748,1786321630308,8.103,V
serial:COM8/motor_angle,158750,1786321630308,196.68,deg
serial:COM8/phase_u_v,158750,1786321630308,7.580,V
serial:COM8/phase_v_v,158750,1786321630308,7.580,V
serial:COM8/phase_w_v,158750,1786321630308,7.623,V
serial:COM8/motor_angle,158752,1786321630308,196.66,deg
serial:COM8/phase_u_v,158752,1786321630308,7.736,V
serial:COM8/phase_v_v,158752,1786321630308,7.731,V
serial:COM8/phase_w_v,158752,1786321630308,7.768,V
serial:COM8/motor_angle,158754,1786321630308,196.68,deg
serial:COM8/phase_u_v,158754,1786321630308,7.882,V
serial:COM8/phase_v_v,158754,1786321630308,7.887,V
serial:COM8/phase_w_v,158754,1786321630308,7.914,V
serial:COM8/motor_angle,158756,1786321630308,196.70,deg
serial:COM8/phase_u_v,158756,1786321630308,8.028,V
serial:COM8/phase_v_v,158756,1786321630308,8.038,V
serial:COM8/phase_w_v,158756,1786321630308,8.071,V
serial:COM8/motor_angle,158758,1786321630308,196.70,deg
serial:COM8/phase_u_v,158758,1786321630308,7.547,V
serial:COM8/phase_v_v,158758,1786321630308,7.563,V
serial:COM8/phase_w_v,158758,1786321630308,7.580,V
serial:COM8/motor_angle,158760,1786321630308,196.68,deg
serial:COM8/phase_u_v,158760,1786321630308,7.698,V
serial:COM8/phase_v_v,158760,1786321630308,7.704,V
serial:COM8/phase_w_v,158760,1786321630308,7.725,V
serial:COM8/motor_angle,158762,1786321630308,196.68,deg
serial:COM8/phase_u_v,158762,1786321630308,7.844,V
serial:COM8/phase_v_v,158762,1786321630308,7.849,V
serial:COM8/phase_w_v,158762,1786321630308,7.876,V
serial:COM8/motor_angle,158764,1786321630308,196.66,deg
serial:COM8/phase_u_v,158764,1786321630308,8.001,V
serial:COM8/phase_v_v,158764,1786321630308,8.001,V
serial:COM8/phase_w_v,158764,1786321630308,8.022,V
serial:COM8/motor_angle,158766,1786321630308,196.63,deg
serial:COM8/phase_u_v,158766,1786321630308,7.515,V
serial:COM8/phase_v_v,158766,1786321630308,7.520,V
serial:COM8/phase_w_v,158766,1786321630308,7.547,V
serial:COM8/motor_angle,158768,1786321630308,196.70,deg
serial:COM8/phase_u_v,158768,1786321630308,7.661,V
serial:COM8/phase_v_v,158768,1786321630308,7.671,V
serial:COM8/phase_w_v,158768,1786321630308,7.698,V
serial:COM8/motor_angle,158770,1786321630308,196.70,deg
serial:COM8/phase_u_v,158770,1786321630308,7.812,V
serial:COM8/phase_v_v,158770,1786321630308,7.812,V
serial:COM8/phase_w_v,158770,1786321630308,7.849,V
serial:COM8/motor_angle,158772,1786321630308,196.66,deg
serial:COM8/phase_u_v,158772,1786321630308,7.957,V
serial:COM8/phase_v_v,158772,1786321630308,7.963,V
serial:COM8/phase_w_v,158772,1786321630308,7.990,V
serial:COM8/motor_angle,158774,1786321630308,196.70,deg
serial:COM8/phase_u_v,158774,1786321630308,7.688,V
serial:COM8/phase_v_v,158774,1786321630308,8.125,V
serial:COM8/phase_w_v,158774,1786321630308,8.157,V
serial:COM8/motor_angle,158776,1786321630308,196.63,deg
serial:COM8/phase_u_v,158776,1786321630308,7.623,V
serial:COM8/phase_v_v,158776,1786321630308,7.628,V
serial:COM8/phase_w_v,158776,1786321630308,7.661,V
serial:COM8/motor_angle,158778,1786321630308,196.72,deg
serial:COM8/phase_u_v,158778,1786321630308,7.768,V
serial:COM8/phase_v_v,158778,1786321630308,7.785,V
serial:COM8/phase_w_v,158778,1786321630308,7.806,V
serial:COM8/motor_angle,158780,1786321630308,196.77,deg
serial:COM8/phase_u_v,158780,1786321630308,7.920,V
serial:COM8/phase_v_v,158780,1786321630308,7.930,V
serial:COM8/phase_w_v,158780,1786321630308,7.968,V
serial:COM8/motor_angle,158782,1786321630308,196.68,deg
serial:COM8/phase_u_v,158782,1786321630308,8.076,V
serial:COM8/phase_v_v,158782,1786321630308,8.082,V
serial:COM8/phase_w_v,158782,1786321630308,8.114,V
serial:COM8/motor_angle,158784,1786321630308,196.72,deg
serial:COM8/phase_u_v,158784,1786321630308,7.596,V
serial:COM8/phase_v_v,158784,1786321630308,7.607,V
serial:COM8/phase_w_v,158784,1786321630308,7.623,V
serial:COM8/motor_angle,158786,1786321630308,196.63,deg
serial:COM8/phase_u_v,158786,1786321630308,7.747,V
serial:COM8/phase_v_v,158786,1786321630308,7.752,V
serial:COM8/phase_w_v,158786,1786321630308,7.768,V
serial:COM8/motor_angle,158788,1786321630308,196.66,deg
serial:COM8/phase_u_v,158788,1786321630308,7.893,V
serial:COM8/phase_v_v,158788,1786321630308,7.898,V
serial:COM8/phase_w_v,158788,1786321630308,7.930,V
serial:COM8/motor_angle,158790,1786321630308,196.74,deg
serial:COM8/phase_u_v,158790,1786321630308,8.038,V
serial:COM8/phase_v_v,158790,1786321630308,8.055,V
serial:COM8/phase_w_v,158790,1786321630308,8.082,V
serial:COM8/motor_angle,158792,1786321630308,196.77,deg
serial:COM8/phase_u_v,158792,1786321630308,7.558,V
serial:COM8/phase_v_v,158792,1786321630308,7.569,V
serial:COM8/phase_w_v,158792,1786321630308,7.590,V
serial:COM8/motor_angle,158794,1786321630308,196.68,deg
serial:COM8/phase_u_v,158794,1786321630308,7.704,V
serial:COM8/phase_v_v,158794,1786321630308,7.715,V
serial:COM8/phase_w_v,158794,1786321630308,7.747,V
serial:COM8/motor_angle,158796,1786321630308,196.66,deg
serial:COM8/phase_u_v,158796,1786321630308,7.855,V
serial:COM8/phase_v_v,158796,1786321630308,7.871,V
serial:COM8/phase_w_v,158796,1786321630308,7.887,V
serial:COM8/motor_angle,158798,1786321630308,196.70,deg
serial:COM8/phase_u_v,158798,1786321630308,8.006,V
serial:COM8/phase_v_v,158798,1786321630308,8.011,V
serial:COM8/phase_w_v,158798,1786321630308,8.044,V
serial:COM8/motor_angle,158800,1786321630308,196.68,deg
serial:COM8/phase_u_v,158800,1786321630308,7.526,V
serial:COM8/phase_v_v,158800,1786321630308,7.531,V
serial:COM8/phase_w_v,158800,1786321630308,7.563,V
serial:COM8/motor_angle,158802,1786321630308,196.63,deg
serial:COM8/phase_u_v,158802,1786321630308,7.671,V
serial:COM8/phase_v_v,158802,1786321630308,7.688,V
serial:COM8/phase_w_v,158802,1786321630308,7.704,V
serial:COM8/motor_angle,158804,1786321630308,196.70,deg
serial:COM8/phase_u_v,158804,1786321630308,7.828,V
serial:COM8/phase_v_v,158804,1786321630308,7.828,V
serial:COM8/phase_w_v,158804,1786321630308,7.860,V
serial:COM8/motor_angle,158806,1786321630308,196.63,deg
serial:COM8/phase_u_v,158806,1786321630308,7.968,V
serial:COM8/phase_v_v,158806,1786321630308,7.984,V
serial:COM8/phase_w_v,158806,1786321630308,8.011,V
serial:COM8/motor_angle,158808,1786321630308,196.70,deg
serial:COM8/phase_u_v,158808,1786321630308,7.493,V
serial:COM8/phase_v_v,158808,1786321630308,7.504,V
serial:COM8/phase_w_v,158808,1786321630308,7.531,V
serial:COM8/motor_angle,158810,1786321630308,196.59,deg
serial:COM8/phase_u_v,158810,1786321630308,7.639,V
serial:COM8/phase_v_v,158810,1786321630308,7.644,V
serial:COM8/phase_w_v,158810,1786321630308,7.677,V
serial:COM8/motor_angle,158812,1786321630308,196.72,deg
serial:COM8/phase_u_v,158812,1786321630308,7.790,V
serial:COM8/phase_v_v,158812,1786321630308,7.795,V
serial:COM8/phase_w_v,158812,1786321630308,7.817,V
serial:COM8/motor_angle,158814,1786321630308,196.66,deg
serial:COM8/phase_u_v,158814,1786321630308,7.941,V
serial:COM8/phase_v_v,158814,1786321630308,7.952,V
serial:COM8/phase_w_v,158814,1786321630308,7.979,V
serial:COM8/motor_angle,158816,1786321630308,196.63,deg
serial:COM8/phase_u_v,158816,1786321630308,8.092,V
serial:COM8/phase_v_v,158816,1786321630308,8.103,V
serial:COM8/phase_w_v,158816,1786321630308,8.130,V
serial:COM8/motor_angle,158818,1786321630308,196.63,deg
serial:COM8/phase_u_v,158818,1786321630308,7.607,V
serial:COM8/phase_v_v,158818,1786321630308,7.612,V
serial:COM8/phase_w_v,158818,1786321630308,7.644,V
serial:COM8/motor_angle,158820,1786321630384,196.63,deg
serial:COM8/phase_u_v,158820,1786321630384,7.747,V
serial:COM8/phase_v_v,158820,1786321630384,7.763,V
serial:COM8/phase_w_v,158820,1786321630384,7.790,V
serial:COM8/motor_angle,158822,1786321630384,196.66,deg
serial:COM8/phase_u_v,158822,1786321630384,7.903,V
serial:COM8/phase_v_v,158822,1786321630384,7.920,V
serial:COM8/phase_w_v,158822,1786321630384,7.941,V
serial:COM8/motor_angle,158824,1786321630384,196.63,deg
serial:COM8/phase_u_v,158824,1786321630384,8.055,V
serial:COM8/phase_v_v,158824,1786321630384,8.071,V
serial:COM8/phase_w_v,158824,1786321630384,8.092,V
serial:COM8/motor_angle,158826,1786321630384,196.68,deg
serial:COM8/phase_u_v,158826,1786321630384,7.580,V
serial:COM8/phase_v_v,158826,1786321630384,7.580,V
serial:COM8/phase_w_v,158826,1786321630384,7.612,V
serial:COM8/motor_angle,158828,1786321630384,196.77,deg
serial:COM8/phase_u_v,158828,1786321630384,7.720,V
serial:COM8/phase_v_v,158828,1786321630384,7.736,V
serial:COM8/phase_w_v,158828,1786321630384,7.758,V
serial:COM8/motor_angle,158830,1786321630384,196.72,deg
serial:COM8/phase_u_v,158830,1786321630384,7.871,V
serial:COM8/phase_v_v,158830,1786321630384,7.882,V
serial:COM8/phase_w_v,158830,1786321630384,7.914,V
serial:COM8/motor_angle,158832,1786321630384,196.68,deg
serial:COM8/phase_u_v,158832,1786321630384,8.028,V
serial:COM8/phase_v_v,158832,1786321630384,8.033,V
serial:COM8/phase_w_v,158832,1786321630384,8.065,V
serial:COM8/motor_angle,158834,1786321630384,196.72,deg
serial:COM8/phase_u_v,158834,1786321630384,7.547,V
serial:COM8/phase_v_v,158834,1786321630384,7.553,V
serial:COM8/phase_w_v,158834,1786321630384,7.580,V
serial:COM8/motor_angle,158836,1786321630384,196.72,deg
