signalName,t,tWall,value,unit
serial:COM8/dial_raw,1619036,1785394306059,9146,
serial:COM8/dial_raw,1619038,1785394306061,9149,
serial:COM8/dial_raw,1619040,1785394306064,9147,
serial:COM8/dial_raw,1619042,1785394306065,9147,
serial:COM8/dial_raw,1619044,1785394306067,9147,
serial:COM8/dial_raw,1619046,1785394306069,9147,
serial:COM8/dial_raw,1619048,1785394306071,9149,
serial:COM8/dial_raw,1619050,1785394306074,9148,
serial:COM8/dial_raw,1619052,1785394306075,9147,
serial:COM8/dial_raw,1619054,1785394306077,9147,
serial:COM8/dial_raw,1619056,1785394306079,9146,
serial:COM8/dial_raw,1619058,1785394306081,9150,
serial:COM8/dial_raw,1619060,1785394306084,9150,
serial:COM8/dial_raw,1619062,1785394306085,9147,
serial:COM8/dial_raw,1619064,1785394306087,9147,
serial:COM8/dial_raw,1619066,1785394306089,9147,
serial:COM8/dial_raw,1619068,1785394306091,9147,
serial:COM8/dial_raw,1619070,1785394306094,9145,
serial:COM8/dial_raw,1619072,1785394306095,9144,
serial:COM8/dial_raw,1619074,1785394306097,9149,
serial:COM8/dial_raw,1619076,1785394306099,9149,
serial:COM8/dial_raw,1619078,1785394306101,9147,
serial:COM8/dial_raw,1619080,1785394306104,9146,
serial:COM8/dial_raw,1619082,1785394306105,9147,
serial:COM8/dial_raw,1619084,1785394306107,9147,
serial:COM8/dial_raw,1619086,1785394306109,9148,
serial:COM8/dial_raw,1619088,1785394306111,9147,
serial:COM8/dial_raw,1619090,1785394306114,9148,
serial:COM8/dial_raw,1619092,1785394306115,9147,
serial:COM8/dial_raw,1619094,1785394306117,9147,
serial:COM8/dial_raw,1619096,1785394306119,9147,
serial:COM8/dial_raw,1619098,1785394306121,9148,
serial:COM8/dial_raw,1619100,1785394306124,9146,
serial:COM8/dial_raw,1619102,1785394306125,9146,
serial:COM8/dial_raw,1619104,1785394306127,9148,
serial:COM8/dial_raw,1619106,1785394306129,9148,
serial:COM8/dial_raw,1619108,1785394306131,9150,
serial:COM8/dial_raw,1619110,1785394306134,9148,
serial:COM8/dial_raw,1619112,1785394306135,9147,
serial:COM8/dial_raw,1619114,1785394306137,9146,
serial:COM8/dial_raw,1619116,1785394306139,9146,
serial:COM8/dial_raw,1619118,1785394306141,9145,
serial:COM8/dial_raw,1619120,1785394306144,9148,
serial:COM8/dial_raw,1619122,1785394306145,9147,
serial:COM8/dial_raw,1619124,1785394306147,9148,
serial:COM8/dial_raw,1619126,1785394306149,9146,
serial:COM8/dial_raw,1619128,1785394306151,9149,
serial:COM8/dial_raw,1619130,1785394306154,9147,
serial:COM8/dial_raw,1619132,1785394306158,9147,
serial:COM8/dial_raw,1619134,1785394306158,9147,
serial:COM8/dial_raw,1619136,1785394306159,9146,
serial:COM8/dial_raw,1619138,1785394306161,9148,
serial:COM8/dial_raw,1619140,1785394306164,9147,
serial:COM8/dial_raw,1619142,1785394306165,9148,
serial:COM8/dial_raw,1619144,1785394306167,9147,
serial:COM8/dial_raw,1619146,1785394306169,9151,
serial:COM8/dial_raw,1619148,1785394306171,9148,
serial:COM8/dial_raw,1619150,1785394306174,9148,
serial:COM8/dial_raw,1619152,1785394306175,9147,
serial:COM8/dial_raw,1619154,1785394306177,9148,
serial:COM8/dial_raw,1619156,1785394306179,9146,
serial:COM8/dial_raw,1619158,1785394306181,9147,
serial:COM8/dial_raw,1619160,1785394306184,9146,
serial:COM8/dial_raw,1619162,1785394306185,9147,
serial:COM8/dial_raw,1619164,1785394306187,9147,
serial:COM8/dial_raw,1619166,1785394306189,9148,
serial:COM8/dial_raw,1619168,1785394306191,9147,
serial:COM8/dial_raw,1619170,1785394306194,9146,
serial:COM8/dial_raw,1619172,1785394306195,9147,
serial:COM8/dial_raw,1619174,1785394306197,9147,
serial:COM8/dial_raw,1619176,1785394306199,9147,
serial:COM8/dial_raw,1619178,1785394306201,9147,
serial:COM8/dial_raw,1619180,1785394306204,9147,
serial:COM8/dial_raw,1619182,1785394306205,9148,
serial:COM8/dial_raw,1619184,1785394306207,9147,
serial:COM8/dial_raw,1619186,1785394306209,9148,
serial:COM8/dial_raw,1619188,1785394306211,9148,
