signalName,t,tWall,value,unit
serial:COM8/motor_angle,3091898,1787370094987,71.65,deg
serial:COM8/dial_angle,3091898,1787370094987,355.30,deg
serial:COM8/mc_magdeg,3091898,1787370094987,277.16,deg
serial:COM8/phase_u_i,3091898,1787370094987,-0.036,A
serial:COM8/phase_v_i,3091898,1787370094987,-0.068,A
serial:COM8/phase_w_i,3091898,1787370094987,-0.052,A
serial:COM8/inj_u_i,3091898,1787370094987,-0.052,A
serial:COM8/inj_v_i,3091898,1787370094987,-0.052,A
serial:COM8/inj_w_i,3091898,1787370094987,0.105,A
serial:COM8/inj_cb,3091898,1787370094987,61569788,
serial:COM8/motor_angle,3091900,1787370094987,71.59,deg
serial:COM8/dial_angle,3091900,1787370094987,355.32,deg
serial:COM8/mc_magdeg,3091900,1787370094987,276.24,deg
serial:COM8/phase_u_i,3091900,1787370094987,-0.028,A
serial:COM8/phase_v_i,3091900,1787370094987,-0.036,A
serial:COM8/phase_w_i,3091900,1787370094987,-0.036,A
serial:COM8/inj_u_i,3091900,1787370094987,-0.068,A
serial:COM8/inj_v_i,3091900,1787370094987,-0.085,A
serial:COM8/inj_w_i,3091900,1787370094987,0.153,A
serial:COM8/inj_cb,3091900,1787370094987,61569834,
serial:COM8/motor_angle,3091902,1787370094987,71.61,deg
serial:COM8/dial_angle,3091902,1787370094987,355.34,deg
serial:COM8/mc_magdeg,3091902,1787370094987,276.55,deg
serial:COM8/phase_u_i,3091902,1787370094987,-0.036,A
serial:COM8/phase_v_i,3091902,1787370094987,-0.068,A
serial:COM8/phase_w_i,3091902,1787370094987,-0.044,A
serial:COM8/inj_u_i,3091902,1787370094987,-0.060,A
serial:COM8/inj_v_i,3091902,1787370094987,-0.068,A
serial:COM8/inj_w_i,3091902,1787370094987,0.129,A
serial:COM8/inj_cb,3091902,1787370094987,61569868,
serial:COM8/motor_angle,3091904,1787370094987,71.59,deg
serial:COM8/dial_angle,3091904,1787370094987,355.32,deg
serial:COM8/mc_magdeg,3091904,1787370094987,276.24,deg
serial:COM8/phase_u_i,3091904,1787370094987,-0.052,A
serial:COM8/phase_v_i,3091904,1787370094987,-0.085,A
