signalName,t,tWall,value,unit
serial:COM8/bench_duty,184802,1786320172554,0.000,
serial:COM8/motor_angle,184802,1786320172554,73.08,deg
serial:COM8/vbus_v,184802,1786320172554,19.577,V
serial:COM8/phase_u_v,184802,1786320172554,7.768,V
serial:COM8/phase_v_v,184802,1786320172554,7.774,V
serial:COM8/phase_w_v,184802,1786320172554,7.795,V
serial:COM8/phase_u_i,184802,1786320172554,-0.036,A
serial:COM8/phase_v_i,184802,1786320172554,-0.077,A
serial:COM8/phase_w_i,184802,1786320172554,-0.036,A
serial:COM8/bench_duty,184804,1786320172554,0.000,
serial:COM8/motor_angle,184804,1786320172554,73.10,deg
serial:COM8/vbus_v,184804,1786320172554,19.561,V
serial:COM8/phase_u_v,184804,1786320172554,7.903,V
serial:COM8/phase_v_v,184804,1786320172554,7.914,V
serial:COM8/phase_w_v,184804,1786320172554,7.952,V
serial:COM8/phase_u_i,184804,1786320172554,-0.028,A
serial:COM8/phase_v_i,184804,1786320172554,-0.068,A
serial:COM8/phase_w_i,184804,1786320172554,-0.012,A
serial:COM8/bench_duty,184806,1786320172554,0.000,
serial:COM8/motor_angle,184806,1786320172554,73.10,deg
serial:COM8/vbus_v,184806,1786320172554,19.577,V
serial:COM8/phase_u_v,184806,1786320172554,8.065,V
serial:COM8/phase_v_v,184806,1786320172554,8.065,V
serial:COM8/phase_w_v,184806,1786320172554,8.098,V
serial:COM8/phase_u_i,184806,1786320172554,-0.044,A
serial:COM8/phase_v_i,184806,1786320172554,-0.068,A
serial:COM8/phase_w_i,184806,1786320172554,-0.060,A
serial:COM8/bench_duty,184808,1786320172554,0.000,
serial:COM8/motor_angle,184808,1786320172554,73.02,deg
serial:COM8/vbus_v,184808,1786320172554,19.582,V
serial:COM8/phase_u_v,184808,1786320172554,7.585,V
serial:COM8/phase_v_v,184808,1786320172554,7.590,V
serial:COM8/phase_w_v,184808,1786320172554,7.617,V
serial:COM8/phase_u_i,184808,1786320172554,-0.020,A
serial:COM8/phase_v_i,184808,1786320172554,-0.044,A
serial:COM8/phase_w_i,184808,1786320172554,-0.020,A
serial:COM8/bench_duty,184810,1786320172554,0.000,
serial:COM8/motor_angle,184810,1786320172554,73.06,deg
serial:COM8/vbus_v,184810,1786320172554,19.577,V
serial:COM8/phase_u_v,184810,1786320172554,7.725,V
serial:COM8/phase_v_v,184810,1786320172554,7.742,V
serial:COM8/phase_w_v,184810,1786320172554,7.758,V
serial:COM8/phase_u_i,184810,1786320172554,-0.028,A
serial:COM8/phase_v_i,184810,1786320172554,-0.044,A
serial:COM8/phase_w_i,184810,1786320172554,-0.036,A
serial:COM8/bench_duty,184812,1786320172554,0.000,
serial:COM8/motor_angle,184812,1786320172554,72.99,deg
serial:COM8/vbus_v,184812,1786320172554,19.566,V
serial:COM8/phase_u_v,184812,1786320172554,7.876,V
serial:COM8/phase_v_v,184812,1786320172554,7.882,V
serial:COM8/phase_w_v,184812,1786320172554,7.909,V
serial:COM8/phase_u_i,184812,1786320172554,-0.020,A
serial:COM8/phase_v_i,184812,1786320172554,-0.052,A
serial:COM8/phase_w_i,184812,1786320172554,-0.052,A
serial:COM8/bench_duty,184814,1786320172554,0.000,
serial:COM8/motor_angle,184814,1786320172554,73.10,deg
serial:COM8/vbus_v,184814,1786320172554,19.577,V
serial:COM8/phase_u_v,184814,1786320172554,8.022,V
serial:COM8/phase_v_v,184814,1786320172554,8.033,V
serial:COM8/phase_w_v,184814,1786320172554,8.060,V
serial:COM8/phase_u_i,184814,1786320172554,-0.012,A
serial:COM8/phase_v_i,184814,1786320172554,-0.052,A
serial:COM8/phase_w_i,184814,1786320172554,-0.036,A
serial:COM8/bench_duty,184816,1786320172554,0.000,
serial:COM8/motor_angle,184816,1786320172554,73.04,deg
serial:COM8/vbus_v,184816,1786320172554,19.572,V
serial:COM8/phase_u_v,184816,1786320172554,7.553,V
serial:COM8/phase_v_v,184816,1786320172554,7.558,V
serial:COM8/phase_w_v,184816,1786320172554,7.585,V
serial:COM8/phase_u_i,184816,1786320172554,-0.004,A
serial:COM8/phase_v_i,184816,1786320172554,-0.036,A
serial:COM8/phase_w_i,184816,1786320172554,-0.052,A
serial:COM8/bench_duty,184818,1786320172554,0.000,
serial:COM8/motor_angle,184818,1786320172554,73.06,deg
serial:COM8/vbus_v,184818,1786320172554,19.582,V
serial:COM8/phase_u_v,184818,1786320172554,7.693,V
serial:COM8/phase_v_v,184818,1786320172554,7.704,V
serial:COM8/phase_w_v,184818,1786320172554,7.731,V
serial:COM8/phase_u_i,184818,1786320172554,-0.020,A
serial:COM8/phase_v_i,184818,1786320172554,-0.044,A
serial:COM8/phase_w_i,184818,1786320172554,-0.052,A
serial:COM8/bench_duty,184820,1786320172554,0.000,
serial:COM8/motor_angle,184820,1786320172554,73.06,deg
serial:COM8/vbus_v,184820,1786320172554,19.572,V
serial:COM8/phase_u_v,184820,1786320172554,7.839,V
serial:COM8/phase_v_v,184820,1786320172554,7.849,V
serial:COM8/phase_w_v,184820,1786320172554,7.876,V
serial:COM8/phase_u_i,184820,1786320172554,-0.020,A
serial:COM8/phase_v_i,184820,1786320172554,-0.044,A
serial:COM8/phase_w_i,184820,1786320172554,-0.036,A
serial:COM8/bench_duty,184822,1786320172554,0.000,
serial:COM8/motor_angle,184822,1786320172554,73.04,deg
serial:COM8/vbus_v,184822,1786320172554,19.582,V
serial:COM8/phase_u_v,184822,1786320172554,7.984,V
serial:COM8/phase_v_v,184822,1786320172554,8.001,V
serial:COM8/phase_w_v,184822,1786320172554,8.028,V
serial:COM8/phase_u_i,184822,1786320172554,-0.004,A
serial:COM8/phase_v_i,184822,1786320172554,-0.028,A
serial:COM8/phase_w_i,184822,1786320172554,-0.052,A
serial:COM8/bench_duty,184824,1786320172554,0.000,
serial:COM8/motor_angle,184824,1786320172554,73.08,deg
serial:COM8/vbus_v,184824,1786320172554,19.561,V
serial:COM8/phase_u_v,184824,1786320172554,7.520,V
serial:COM8/phase_v_v,184824,1786320172554,7.531,V
serial:COM8/phase_w_v,184824,1786320172554,7.553,V
serial:COM8/phase_u_i,184824,1786320172554,-0.020,A
serial:COM8/phase_v_i,184824,1786320172554,-0.052,A
serial:COM8/phase_w_i,184824,1786320172554,-0.044,A
serial:COM8/bench_duty,184826,1786320172554,0.000,
serial:COM8/motor_angle,184826,1786320172554,73.10,deg
serial:COM8/vbus_v,184826,1786320172554,19.566,V
serial:COM8/phase_u_v,184826,1786320172554,7.661,V
serial:COM8/phase_v_v,184826,1786320172554,7.682,V
serial:COM8/phase_w_v,184826,1786320172554,7.688,V
serial:COM8/phase_u_i,184826,1786320172554,-0.012,A
